word,phonetics,origin,definition,partOfSpeech
hyperresponsiveness,ˌhī-pər-ri-ˈspän(t)-siv,,characterized by an abnormal degree of responsiveness (as to a physical or emotional stimulus),adjective
nontransferability,ˌnän-tran(t)s-ˈfər-ə-bəl,,not capable of being transferred : not transferable,adjective
multilateralists,ˌməl-tē-ˈla-t(ə-)rəl,,having many sides; involving or participated in by more than two nations or parties,adjective
inextinguishable,ˌi-nik-ˈstiŋ-gwi-shə-bəl,,not extinguishable : unquenchable,adjective
pre-incorporation,ˌprē-in-ˌkȯr-pə-ˈrā-shən,,existing or occurring before the formation of a corporation,adjective
megagametophytes,ˌme-gə-gə-ˈmē-tə-ˌfīt,,the female gametophyte produced by a megaspore,noun
overamplification,ˌō-vər-ˈam-plə-ˌfīd,,"excessively amplified: such as; excessively large, great, or strong; electronically amplified to the point of being too loud",adjective
interdepartmentally,ˌin-tər-di-ˌpärt-ˈmen-tᵊl,,"existing, exchanged, or carried on between two or more departments (as of an organization) or their members; especially : characterized by participation or cooperation of two or more departments of an educational institution",adjective
superconductivity,ˌsü-pər-ˌkän-ˌdək-ˈti-və-tē,,a complete disappearance of electrical resistance in a substance especially at very low temperatures,noun
chlortetracyclines,ˌklȯr-ˌte-trə-ˈsī-ˌklēn,,a yellow crystalline broad-spectrum antibiotic C22H23ClN2O8 that is produced by a soil actinomycete (Streptomyces aureofaciens) and is sometimes used in animal feeds to stimulate growth,noun
photographically,ˌfō-tə-ˈgra-fik,,"relating to, obtained by, or used in photography; representing nature and human beings with the exactness of a photograph; capable of retaining vivid impressions",adjective
microelectronics,ˌmī-krō-i-ˌlek-ˈträ-niks,,"a branch of electronics that deals with the miniaturization of electronic circuits and components; devices, equipment, or circuits produced using the methods of microelectronics",noun
noncommutativity,ˌnän-kə-ˈmyü-tə-tiv,,"of, relating to, having, or being the property that a given mathematical operation and set have when the result obtained using any two elements of the set with the operation differs with the order in which the elements are used : not commutative",adjective
electrophotography,i-ˌlek-trō-fə-ˈtä-grə-fē,,photography in which images are produced by electrical means (as in xerography),noun
nonanthropologists,ˌnän-ˌan(t)-thrə-ˈpä-lə-jist,,a person who is not an anthropologist,noun
neuropsychological,ˌnu̇r-ō-sī-ˈkä-lə-jē,,a science concerned with the integration of psychological observations on behavior and the mind with neurological observations on the brain and nervous system,noun
supercivilizations,ˌsü-pər-ˌsi-və-lə-ˈzā-shən,,a highly developed civilization : a society that has advanced to a very high level of cultural or technological development,noun
hydrometeorology,ˌhī-drō-ˌmē-tē-ə-ˈrä-lə-jē,,a branch of meteorology that deals with water in the atmosphere especially as precipitation,noun
intraventricularly,ˌin-trə-ven-ˈtri-kyə-lər,,"situated within, occurring within, or administered into a ventricle",adjective
overindustrialization,ˌō-vər-in-ˈdə-strē-ə-ˌlīz,,to industrialize (something) to an excessive degree,verb
representational,ˌre-pri-ˌzen-ˈtā-shən,,one that represents: such as; an artistic likeness or image; a statement or account made to influence opinion or action,noun
questionableness,ˈkwes-chə-nə-bəl,,"inviting inquiry; liable to judicial inquiry or action; affording reason for being doubted, questioned, or challenged : not certain or exact : problematic",adjective
eschatologically,(ˌ)e-ˌska-tə-ˈlä-ji-kəl,,of or relating to eschatology or an eschatology; of or relating to the end of the world or the events associated with it in eschatology,adjective
overprotectiveness,ˌō-vər-prə-ˈtekt,,to protect (someone or something) more than is necessary or reasonable,verb
counterrevolutionaries,ˌkau̇n-tər-ˌre-və-ˈlü-shən,,a revolution directed toward overthrowing a government or social system established by a previous revolution; a movement to counteract revolutionary trends,noun
transillumination,ˌtran(t)s-ə-ˈlü-mə-ˌnāt,,to cause light to pass through; especially : to pass light through (a body part) for medical examination,verb
nonlinguistically,ˌnän-liŋ-ˈgwi-stik,,not consisting of or related to language : not linguistic,adjective
counterinflation,ˌkau̇n-tər-in-ˈflā-shən,,"acting or intended to stop, slow, reverse, or prevent economic inflation : counterinflationary",adjective
counterrevolution,ˌkau̇n-tər-ˌre-və-ˈlü-shən,,a revolution directed toward overthrowing a government or social system established by a previous revolution; a movement to counteract revolutionary trends,noun
unpretentiousness,ˌən-pri-ˈten(t)-shəs,,"free from ostentation, elegance, or affectation : modest",adjective
interrelationships,ˌin-tər-ri-ˈlāt,,to bring into mutual relation; to have mutual relationship,verb
uncompetitiveness,ˌən-kəm-ˈpe-tə-tiv,,not competitive : unable to compete,adjective
photomicrographs,ˌfō-tə-ˈmī-krə-ˌgraf,,a photograph of a microscope image,noun
superconductivities,ˌsü-pər-ˌkän-ˌdək-ˈti-və-tē,,a complete disappearance of electrical resistance in a substance especially at very low temperatures,noun
internationalities,ˌin-tər-ˈna-sh(ə-)nəl,,"of, relating to, or affecting two or more nations; of, relating to, or constituting a group or association having members in two or more nations; active, known, or reaching beyond national boundaries",adjective
progressivenesses,prə-ˈgre-siv,,"of, relating to, or characterized by progress; making use of or interested in new ideas, findings, or opportunities; of, relating to, or constituting an educational theory marked by emphasis on the individual child, informality of classroom procedure, and encouragement of self-expression",adjective
inhospitableness,ˌin-(ˌ)hä-ˈspi-tə-bəl,,not showing hospitality : not friendly or receptive; providing no shelter or sustenance,adjective
transcendentally,ˌtran(t)-ˌsen-ˈden-tᵊl,,"transcendent; supernatural; abstruse, abstract",adjective
microelectronically,ˌmī-krō-i-ˌlek-ˈträ-niks,,"a branch of electronics that deals with the miniaturization of electronic circuits and components; devices, equipment, or circuits produced using the methods of microelectronics",noun
self-glorification,ˌself-ˌglȯr-ə-fə-ˈkā-shən,,"[""a feeling or expression of one's own superiority""]",noun
overindustrialize,ˌō-vər-in-ˈdə-strē-ə-ˌlīz,,to industrialize (something) to an excessive degree,verb
counter-adaptation,ˌkau̇n-tər-ˌa-ˌdap-ˈtā-shən,,"adaptation of an organism (as in modification of behavior, physiology, or form) in response to an adaptation of another organism with which it regularly interacts; also : a favorable trait that arises as a result of counteradaptation; opposition to the effect of a drug or stimulus that is hypothesized to develop in an organism as a mechanism to maintain homeostasis",noun
exceptionability,ik-ˈsep-sh(ə-)nə-bəl,,being likely to cause objection : objectionable,adjective
circumstantiated,ˌsər-kəm-ˈstan(t)-shē-ˌāt,,to supply with circumstantial evidence or support,verb
ultraconservatives,ˌəl-trə-kən-ˈsər-və-tiv,,"extremely or extraordinarily conservative; especially : very strongly favoring, adhering to, or based upon the principles of conservatism (as in politics or religion)",adjective
hyperintellectual,ˌhī-pər-ˌin-tə-ˈlek-chə-wəl,,extremely or excessively intellectual,adjective
unserviceableness,ˌən-ˈsər-və-sə-bəl,,not ready or able to be used : not serviceable,adjective
stereomicroscopes,ˌster-ē-ō-ˈmī-krə-ˌskōp,,a microscope having a set of optics for each eye to make an object appear in three dimensions,noun
reconceptualizations,(ˌ)rē-kən-ˈsep-chə-wə-ˌlīz,,to conceptualize in a new or different way,verb
imperceptiveness,ˌim-pər-ˈsep-tiv,,not perceptive,adjective
exterritorialities,ˌek-ˌster-ə-ˈtȯr-ē-əl,,extraterritorial,adjective
anti-ideological,ˌan-tē-ˌī-dē-ə-ˈlä-ji-kəl,,opposed to or unconcerned with ideology : deliberately and emphatically not ideological,adjective
demilitarizations,(ˌ)dē-ˈmi-lə-tə-ˌrīz,,"to do away with the military organization or potential of; to prohibit (something, such as a zone or frontier area) from being used for military purposes; to rid of military characteristics or uses",verb
deinstitutionalization,(ˌ)dē-ˌin(t)-stə-ˌtü-shə-nə-lə-ˈzā-shən,,the release of institutionalized individuals from institutional care (as in a psychiatric hospital) to care in the community; the reform or modification of an institution to remove or disguise its institutional character,noun
neuropharmacologist,ˌnu̇r-ō-ˌfär-mə-ˈkä-lə-jē,,a branch of medical science dealing with the action of drugs on and in the nervous system; the properties and reactions of a drug on and in the nervous system,noun
pseudo-intellectual,,,a person who wants to be thought of as having a lot of intelligence and knowledge but who is not really intelligent or knowledgeable,noun
professionalisms,prə-ˈfesh-nə-ˌli-zəm,,"the conduct, aims, or qualities that characterize or mark a profession or a professional person; the following of a profession (such as athletics) for gain or livelihood",noun
antimaterialistic,ˌan-tē-mə-ˈtir-ē-ə-ˌli-zəm,,opposition to materialism,noun
overindustrializing,ˌō-vər-in-ˈdə-strē-ə-ˌlīz,,to industrialize (something) to an excessive degree,verb
departmentalization,di-ˌpärt-ˈmen-tə-ˌlīz,,to divide into departments,verb
supercorporations,ˌsü-pər-ˌkȯr-pə-ˈrā-shən,,an extremely large corporation,noun
overcapitalizing,ˌō-vər-ˈka-pə-tə-ˌlīz,,to put a nominal value on the capital of (a corporation) higher than actual cost or fair market value; to capitalize beyond what the business or the profit-making prospects warrant,verb
unconstitutionally,ˌən-ˌkän(t)-stə-ˈtü-sh(ə-)nəl,,not according or consistent with the constitution of a body politic (such as a nation),adjective
hypersusceptibility,ˌhī-pər-sə-ˈsep-tə-bəl,,extremely or excessively susceptible : hypersensitive,adjective
intercorrelation,ˌin-tər-ˌkȯr-ə-ˈlā-shən,,correlation between the members of a group of variables and especially between independent variables,noun
countermovements,ˈkau̇n-tər-ˌmüv-mənt,,a movement in an opposite direction; an organized movement that arises in opposition to something,noun
foresightednesses,ˈfȯr-ˌsīt,,an act or the power of foreseeing : prescience; provident care : prudence; an act of looking forward; also : a view forward,noun
homotransplantation,ˌhō-mō-ˈtran(t)s-ˌplant,,homograft,noun
contraindication,ˌkän-trə-ˌin-də-ˈkā-shən,,something (such as a symptom or condition) that makes a particular treatment or procedure inadvisable,noun
preincorporation,ˌprē-in-ˌkȯr-pə-ˈrā-shən,,existing or occurring before the formation of a corporation,adjective
companionableness,kəm-ˈpan-yə-nə-bəl,,"marked by, conducive to, or suggestive of companionship : sociable",adjective
counterattacking,ˈkau̇n-tər-ə-ˌtak,,an attack made in response to or in defense against an attack made by another,noun
counter-governments,ˌkau̇n-tər-ˈgə-vər(n)-mənt,,a group of people that organizes as an unofficial governing authority to oppose or supplant a legitimate or generally recognized government,noun
materialistically,mə-ˌtir-ē-ə-ˈli-stik,,"overly concerned or preoccupied with material possessions rather than with intellectual or spiritual things; of, relating to, or deriving from the theory or doctrine of materialism",adjective
misadministrations,ˌmis-əd-ˌmi-nə-ˈstrā-shən,,"the act, process, or an instance of administering poorly or wrongly : mistaken or improper administration",noun
supranationalities,ˌsü-prə-ˈnash-nəl,,"transcending national boundaries, authority, or interests",adjective
undependabilities,ˌən-di-ˈpen-də-bəl,,unable to be trusted or relied on : not dependable : unreliable,adjective
otolaryngological,ˌō-tō-ˌler-ən-ˈgä-lə-jē,,"a medical specialty concerned especially with the ear, nose, and throat and related parts of the head and neck —called also otorhinolaryngology",noun
unrepresentative,ˌən-ˌre-pri-ˈzen-tə-tiv,,not representative: such as; not typical or characteristic : atypical; not representing an electorate,adjective
anti-separatists,ˌan-tē-ˈse-p(ə-)rə-tist,,opposing or hostile toward separatism,adjective
distributivities,di-ˈstri-byü-tiv,,of or relating to distribution: such as; dealing a proper share to each of a group; diffusing more or less evenly,adjective
superimpositions,ˌsü-pər-im-ˈpōz,,to place or lay over or above something,verb
carboxymethylcellulose,kär-ˌbäk-sē-ˌme-thəl-ˈsel-yə-ˌlōs,,"an acid ether derivative of cellulose that in the form of its sodium salt is used as a thickening, emulsifying, and stabilizing agent and as a bulk laxative in medicine",noun
marginalizations,ˈmärj-nə-ˌlīz,,to relegate to an unimportant or powerless position within a society or group,verb
editorializations,ˌe-də-ˈtȯr-ē-ə-ˌlīz,,to express an opinion in the form of an editorial; to introduce opinion into the reporting of facts; to express an opinion (as on a controversial issue),verb
circumstantiating,ˌsər-kəm-ˈstan(t)-shē-ˌāt,,to supply with circumstantial evidence or support,verb
non-psychoactive,ˌnän-ˌsī-kō-ˈak-tiv,,not psychoactive : not producing an effect (such as changes in perception or behavior) on the mind or mental processes,adjective
counterattackers,ˈkau̇n-tər-ə-ˌtak,,an attack made in response to or in defense against an attack made by another,noun
crosslinguistically,ˈkrȯs-liŋ-ˈgwi-stik,,of or relating to languages of different families and types; especially : relating to the comparison of different languages,adjective
questionablenesses,ˈkwes-chə-nə-bəl,,"inviting inquiry; liable to judicial inquiry or action; affording reason for being doubted, questioned, or challenged : not certain or exact : problematic",adjective
noninterventions,ˌnän-ˌin-tər-ˈven(t)-shən,,the state or policy of not intervening,noun
largeheartedness,ˌlärj-ˈhär-təd,,having a generous disposition : sympathetic,adjective
substantialities,səb-ˈstan(t)-shəl,,"consisting of or relating to substance; not imaginary or illusory : real, true; important, essential",adjective
subconsciousness,ˌsəb-ˈkän(t)-shəs,,existing in the mind but not immediately available to consciousness,adjective
readministrations,(ˌ)rē-əd-ˈmi-nə-stər,,to administer (something) again,verb
establishmentarian,i-ˌsta-blish-mən-ˈter-ē-ən,,"of, relating to, or favoring the social or political establishment",adjective
impermissibility,ˌim-pər-ˈmi-sə-bəl,,not permissible,adjective
hypercoagulability,ˌhī-pər-kō-ˌa-gyə-lə-ˈbi-lə-tē,,a state or condition marked by an increased tendency to form blood clots within a blood vessel : excessive coagulability …,noun
anti-intellectualism,ˌan-tē-ˌin-tə-ˈlek-ch(ə-w)əl,,opposing or hostile to intellectuals or to an intellectual view or approach,adjective
discriminatingly,di-ˈskri-mə-ˌnā-tiŋ,,"making a distinction : distinguishing; marked by discrimination:; discerning, judicious",adjective
interchangeablenesses,ˌin-tər-ˈchān-jə-bəl,,capable of being interchanged; especially : permitting mutual substitution,adjective
syllabifications,sə-ˌla-bə-fə-ˈkā-shən,,syllabication,noun
chlorofluorocarbons,ˌklȯr-ō-ˌflȯr-ō-ˈkär-bən,,"any of several simple gaseous compounds that contain carbon, chlorine, fluorine, and sometimes hydrogen, that are used as refrigerants, cleaning solvents, and aerosol propellants and in the manufacture of plastic foams, and that are believed to be a major cause of stratospheric ozone depletion —abbreviation CFC",noun
methylprednisolone,ˌme-thəl-pred-ˈni-sə-ˌlōn,,a glucocorticoid C22H30O5 that is a derivative of prednisolone and is used as an anti-inflammatory agent; also : any of several of its salts (such as an acetate) used similarly,noun
nonconsciousness,ˌnän-ˈkän(t)-shəs,,not conscious : unconscious,adjective
constitutionally,ˌkän(t)-stə-ˈtü-shnə-lē,,"[""in accordance with one's constitution"", 'in structure, composition, or constitution; in accordance with a political constitution",adverb
psychopathically,ˌsī-kə-ˈpa-thik,,"of, relating to, or characterized by psychopathy",adjective
oversophisticated,ˌō-vər-sə-ˈfi-stə-ˌkā-təd,,excessively or needlessly sophisticated,adjective
unsustainability,ˌən-sə-ˈstā-nə-bəl,,not capable of being prolonged or continued : not sustainable,adjective
polyacrylonitrile,ˌpä-lē-ˌa-krə-lō-ˈnī-trəl,,a polymer of acrylonitrile used often as fibers,noun
sesquicentennial,ˌse-skwi-sen-ˈte-nē-əl,,a 150th anniversary or its celebration,noun
denitrifications,(ˌ)dē-ˌnī-trə-fə-ˈkā-shən,,the loss or removal of nitrogen or nitrogen compounds; specifically : reduction of nitrates or nitrites commonly by bacteria (as in soil) that usually results in the escape of nitrogen into the air,noun
chlorofluoromethanes,ˌklȯr-ō-ˌflȯr-ō-ˈme-ˌthān,,a chlorofluorocarbon derived from methane,noun
inter-departmentally,ˌin-tər-di-ˌpärt-ˈmen-tᵊl,,"existing, exchanged, or carried on between two or more departments (as of an organization) or their members; especially : characterized by participation or cooperation of two or more departments of an educational institution",adjective
intellectualnesses,ˌin-tə-ˈlek-chə-wəl,,of or relating to the intellect or its use; developed or chiefly guided by the intellect rather than by emotion or experience : rational; requiring use of the intellect,adjective
counter-instances,ˌkau̇n-tər-ˈin(t)-stən(t)s,,"a case that contradicts a rule, theory, etc. : exception",noun
pseudoephedrines,ˌsü-dō-i-ˈfed-rən,,an isomer of ephedrine used in the form of its hydrochloride or sulfate especially to relieve nasal congestion,noun
intercorrelating,ˌin-tər-ˈkȯr-ə-ˌlāt,,to exhibit correlation with each other —used of members of a group of variable and especially of independent variables; to correlate (members of a group of variables) with each other,verb
hyperintensities,ˌhī-pər-in-ˈten(t)s,,extremely or excessively intense; appearing as a bright or white spot or region in images of the brain (such as those produced by MRI),adjective
ultraconservatisms,ˌəl-trə-kən-ˈsər-və-tiv,,"extremely or extraordinarily conservative; especially : very strongly favoring, adhering to, or based upon the principles of conservatism (as in politics or religion)",adjective
undenominationally,ˌən-di-ˌnä-mə-ˈnā-sh(ə-)nəl,,not restricted or belonging to a religious denomination : not denominational,adjective
impracticabilities,(ˌ)im-ˈprak-ti-kə-bəl,,impassable; not practicable : incapable of being performed or accomplished by the means employed or at command,adjective
pseudocholinesterases,ˈsü-dō-ˌkō-lə-ˈne-stə-ˌrās,,butyrylcholinesterase,noun
declassification,(ˌ)dē-ˈkla-sə-ˌfī,,to remove or reduce the security classification of,verb
hypercorrectnesses,ˌhī-pər-kə-ˈrekt,,"of, relating to, or characterized by the production of a nonstandard linguistic form or construction on the basis of a false analogy (such as ""badly"" in ""my eyes have gone badly"")",adjective
deindustrialization,(ˌ)dē-in-ˌdə-strē-ə-lə-ˈzā-shən,,"[""the reduction or destruction of a nation's or region's industrial capacity""]",noun
hyperstimulating,ˌhī-pər-ˌstim-yə-ˈlā-shən,,excessive or extreme stimulation : the act or process of excessively stimulating something or someone,noun
electrolytically,i-ˌlek-trə-ˈli-tik,,of or relating to electrolysis or an electrolyte; also : produced by or used in electrolysis,adjective
reconstructionism,ˌrē-kən-ˈstrək-shə-ˌni-zəm,,a movement in 20th century American Judaism that advocates a creative adjustment to contemporary conditions through the cultivation of traditions and folkways shared by all Jews; advocacy of post-Civil War Reconstruction,noun
counter-tradition,ˌkau̇n-tər-trə-ˈdi-shən,,a tradition that differs from or opposes another tradition,noun
semidomesticated,ˌse-mē-də-ˌme-sti-ˈkā-shən,,a captive state of a wild animal in which its living conditions and often its breeding are controlled by humans,noun
micromorphological,ˌmī-krō-mȯr-ˈfä-lə-jē,,microstructure,noun
intellectualities,ˌin-tə-ˈlek-chə-wəl,,of or relating to the intellect or its use; developed or chiefly guided by the intellect rather than by emotion or experience : rational; requiring use of the intellect,adjective
unscrupulousnesses,ˌən-ˈskrü-pyə-ləs,,not scrupulous : unprincipled,adjective
multibillionaire,ˌməl-tē-ˌbi(l)-yə-ˈner,,a person whose wealth is estimated at many billions (as of dollars or pounds),noun
microcrystallinities,ˈmī-krō-ˌkri-stᵊl,,a microscopic crystal,noun
noncomplementary,ˌnän-ˌkäm-plə-ˈmen-t(ə-)rē,,not complementary,adjective
quadricentennials,ˌkwä-drə-sen-ˈte-nē-əl,,a 400th anniversary or its celebration,noun
photomicrographic,ˌfō-tə-ˈmī-krə-ˌgraf,,a photograph of a microscope image,noun
internationalism,ˌin-tər-ˈna-sh(ə-)nə-ˌli-zəm,,"international character, principles, interests, or outlook; a policy of cooperation among nations; an attitude or belief favoring such a policy",noun
conscientiousness,ˌkän(t)-shē-ˈen(t)-shəs-nəs,,the condition or quality of being conscientious,noun
misadministration,ˌmis-əd-ˌmi-nə-ˈstrā-shən,,"the act, process, or an instance of administering poorly or wrongly : mistaken or improper administration",noun
constructiveness,kən-ˈstrək-tiv,,declared such by judicial construction or interpretation; of or relating to construction or creation; promoting improvement or development,adjective
hyper-competitiveness,ˌhī-pər-kəm-ˈpe-tə-tiv,,extremely or excessively competitive,adjective
psychopharmacological,ˌsī-kō-ˌfär-mə-ˈkä-lə-jē,,the study of the effect of drugs on the mind and behavior,noun
paternalistically,pə-ˈtər-nə-ˌli-zəm,,a system under which an authority undertakes to supply needs or regulate conduct of those under its control in matters affecting them as individuals as well as in their relations to authority and to each other; a policy or practice based on or characteristic of paternalism,noun
professionalizations,prə-ˈfesh-nə-ˌlīz,,to give a professional character to,verb
periphrastically,ˌper-ə-ˈfra-stik,,"of, relating to, or characterized by periphrasis; formed by the use of function words or auxiliaries instead of by inflection",adjective
overconservative,ˌō-vər-kən-ˈsər-və-tiv,,excessively conservative : adhering too strictly to limits of moderation or caution,adjective
hyper-stimulation,ˌhī-pər-ˌstim-yə-ˈlā-shən,,excessive or extreme stimulation : the act or process of excessively stimulating something or someone,noun
unchangeabilities,ˌən-ˈchān-jə-bəl,,not changing or to be changed : immutable,adjective
impenetrabilities,(ˌ)im-ˌpe-nə-trə-ˈbi-lə-tē,,the quality or state of being impenetrable; the inability of two portions of matter to occupy the same space at the same time,noun
crystallographically,ˌkri-stə-lə-ˈgra-fik,,of or relating to crystals or crystallography,adjective
self-perpetuation,ˌself-pər-ˈpe-chə-ˌwā-tiŋ,,capable of continuing or renewing oneself indefinitely : capable of perpetuating oneself or itself,adjective
hyper-consciousness,ˌhī-pər-ˈkän(t)-shəs,,intensely or excessively aware : acutely conscious,adjective
multicellularity,ˌməl-tē-ˈsel-yə-lər,,"having, made up of, or involving more than one and usually many cells especially of living matter",adjective
overrepresentations,ˈō-vər-ˌre-pri-ˈzen-təd,,represented excessively; especially : having representatives in a proportion higher than the average,adjective
inter-availability,ˌin-tər-ə-ˈvā-lə-bəl,,"of, relating to, or being one of two or more forms of public transportation that service the same route and that accept tickets issued by one another for that route",adjective
countermobilization,ˌkau̇n-tər-ˌmō-bə-lə-ˈzā-shən,,a mobilization in opposition to something,noun
imperceptivenesses,ˌim-pər-ˈsep-tiv,,not perceptive,adjective
ultraconservatism,ˌəl-trə-kən-ˈsər-və-tiv,,"extremely or extraordinarily conservative; especially : very strongly favoring, adhering to, or based upon the principles of conservatism (as in politics or religion)",adjective
electrocardiographic,i-ˌlek-trō-ˈkär-dē-ə-ˌgraf,,an instrument for recording the changes of electrical potential occurring during the heartbeat used especially in diagnosing abnormalities of heart action,noun
antihypertensive,ˌan-tē-ˌhī-pər-ˈten(t)-siv,,a substance that is effective against high blood pressure,noun
overdocumentation,ˌō-vər-ˈdä-kyə-mənt,,to document (something) excessively,verb
overfertilization,ˌō-vər-ˈfər-tə-ˌlīz,,"to fertilize (something, such as a crop) more than is necessary or appropriate",verb
anti-intellectual,ˌan-tē-ˌin-tə-ˈlek-ch(ə-w)əl,,opposing or hostile to intellectuals or to an intellectual view or approach,adjective
dihydrotestosterones,(ˌ)dī-ˌhī-drō-te-ˈstä-stə-ˌrōn,,a biologically active metabolite C19H30O2 of testosterone having similar androgenic activity,noun
uncontrollability,ˌən-kən-ˈtrō-lə-bəl,,incapable of being controlled : ungovernable; free from control by a superior power : absolute,adjective
microspectrophotometer,ˌmī-krə-ˌspek-trə-fō-ˈtä-mə-tər,,a spectrophotometer adapted to the examination of light transmitted by a very small specimen (such as a single biological cell),noun
overgeneralization,ˌō-vər-ˈje-nə-rə-ˌlīz,,"to generalize excessively: such as; to make excessively vague or general statements about something or someone; to generalize to the point of inaccuracy : to extrapolate a general theory, rule, etc. from too few facts or particulars",verb
microradiographs,ˌmī-krō-ˌrā-dē-ˈä-grə-fē,,radiography in which an X-ray photograph is prepared showing minute internal structure,noun
anti-materialistic,ˌan-tē-mə-ˈtir-ē-ə-ˌli-zəm,,opposition to materialism,noun
insusceptibilities,ˌin(t)-sə-ˈsep-tə-bəl,,not susceptible,adjective
electron-optical,,,a branch of physics in which the principles of optics are applied to beams of electrons,noun
overarticulating,ˌō-vər-är-ˈti-kyə-ˌlāt,,to articulate (a word or sound) to an extreme or excessive degree,verb
uncharacteristic,ˌən-ˌker-ik-tə-ˈri-stik,,not characteristic : not typical or distinctive,adjective
renationalization,(ˌ)rē-ˈnash-nə-ˌlīz,,to nationalize (something) again : to place (a private industry) back under the control or ownership of the national government,verb
counterdemonstrate,ˌkau̇n-tər-ˈde-mən-ˌstrāt,,to make a demonstration in opposition to another demonstration : to participate in a counterdemonstration,verb
hypercompetitiveness,ˌhī-pər-kəm-ˈpe-tə-tiv,,extremely or excessively competitive,adjective
unsubstantialities,ˌən-səb-ˈstan(t)-shəl,,"not substantial : lacking substance, firmness, or strength",adjective
multilateralisms,ˌməl-tē-ˈla-t(ə-)rəl,,having many sides; involving or participated in by more than two nations or parties,adjective
dimethylnitrosamines,ˌdī-ˌme-thəl-nī-ˈtrō-sə-ˌmēn,,a carcinogenic nitrosamine C2H6N2O that occurs especially in tobacco smoke,noun
misappropriation,ˌmi-sə-ˈprō-prē-ˌāt,,to appropriate wrongly (as by theft or embezzlement),verb
pharmacologically,ˌfär-mə-ˈkä-lə-jē,,"the science of drugs including their origin, composition, pharmacokinetics, therapeutic use, and toxicology; the properties and reactions of drugs especially with relation to their therapeutic value",noun
magnetofluiddynamics,mag-ˌnē-tō-ˌflü-ə-dī-ˈna-miks,,the study of magnetohydrodynamic phenomena : magnetohydrodynamics,noun
sentimentalities,ˌsen-tə-ˌmen-ˈta-lə-tē,,the quality or state of being sentimental especially to excess or in affectation; a sentimental idea or its expression,noun
dihydrotestosterone,(ˌ)dī-ˌhī-drō-te-ˈstä-stə-ˌrōn,,a biologically active metabolite C19H30O2 of testosterone having similar androgenic activity,noun
dimethylhydrazine,ˌdī-ˌme-thəl-ˈhī-drə-ˌzēn,,either of two flammable corrosive isomeric liquids C2H8N2 which are methylated derivatives of hydrazine and of which one is used as a rocket fuel,noun
overcapitalization,ˌō-vər-ˈka-pə-tə-ˌlīz,,to put a nominal value on the capital of (a corporation) higher than actual cost or fair market value; to capitalize beyond what the business or the profit-making prospects warrant,verb
dimethylhydrazines,ˌdī-ˌme-thəl-ˈhī-drə-ˌzēn,,either of two flammable corrosive isomeric liquids C2H8N2 which are methylated derivatives of hydrazine and of which one is used as a rocket fuel,noun
deinstitutionalizes,(ˌ)dē-ˌin(t)-stə-ˌtü-shə-nə-lə-ˈzā-shən,,the release of institutionalized individuals from institutional care (as in a psychiatric hospital) to care in the community; the reform or modification of an institution to remove or disguise its institutional character,noun
overclassifications,ˌō-vər-ˈkla-sə-ˌfī,,"to classify (something or someone) to an excessive degree: such as; to divide (someone or something) into too many or unnecessary classes; also : to include too many or too much of (someone or something) in a class; to make (something, such as information or documents) classified unnecessarily",verb
practicablenesses,ˈprak-ti-kə-bəl,,capable of being put into practice or of being done or accomplished : feasible; capable of being used : usable,adjective
incontrovertibly,(ˌ)in-ˌkän-trə-ˈvər-tə-bəl,,not open to question : indisputable,adjective
iconographically,(ˌ)ī-ˌkä-nə-ˈgra-fik,,of or relating to iconography; representing something by pictures or diagrams,adjective
unconscionability,ˌən-ˈkän(t)-sh(ə-)nə-bəl,,"shockingly unfair or unjust; excessive, unreasonable; not guided or controlled by conscience : unscrupulous",adjective
irresistableness,ˌir-i-ˈzi-stə-bəl,,impossible to resist,adjective
hydroxytryptamine,hī-ˌdräk-sē-ˈtrip-tə-ˌmēn,,serotonin —usually preceded by the numeral 5,noun
expressivenesses,ik-ˈspre-siv,,"of or relating to expression; serving to express, utter, or represent; effectively conveying meaning or feeling",adjective
discriminability,di-ˌskri-mə-nə-ˈbi-lə-tē,,the quality of being discriminable; the ability to discriminate,noun
hyper-responsiveness,ˌhī-pər-ri-ˈspän(t)-siv,,characterized by an abnormal degree of responsiveness (as to a physical or emotional stimulus),adjective
counter-inflation,ˌkau̇n-tər-in-ˈflā-shən,,"acting or intended to stop, slow, reverse, or prevent economic inflation : counterinflationary",adjective
magnetoresistances,mag-ˌnē-tō-ri-ˈzi-stən(t)s,,a change in electrical resistance due to the presence of a magnetic field,noun
sesquicentennials,ˌse-skwi-sen-ˈte-nē-əl,,a 150th anniversary or its celebration,noun
expressionlessness,ik-ˈspre-shən-ləs,,lacking expression,adjective
archaeoastronomy,ˌär-kē-(ˌ)ō-ə-ˈsträ-nə-mē,,the study of the astronomy of ancient cultures,noun
hydroxychloroquine,hī-ˌdräk-sē-ˈklȯr-ə-ˌkwēn,,"a drug derived from quinolone that is taken orally in the form of its sulfate C18H26ClN3O·H2SO4 to treat malaria, rheumatoid arthritis, and lupus erythematosus",noun
ultraliberalisms,ˌəl-trə-ˈli-b(ə-)rəl,,"extremely or extraordinarily liberal : very strongly favoring, adhering to, or based upon the principles of liberalism",adjective
